"ef_regulation","ef_trade","ef_money","ef_legal","ef_government","pf_identity","pf_expression","pf_association","pf_religion","pf_movement","pf_ss","pf_rol","pf_ss_homicide","pf_ss_disappearances_disap","pf_ss_disappearances_violent","pf_ss_disappearances_organized","pf_ss_disappearances_fatalities","pf_ss_disappearances_injuries"
7.575794336,8.282030666,9.468751955,5.587966843,5.589830582,9.25,9.297619048,10,7.727777778,10,9.360080152,6.275760683,9.581016058,10,10,7.5,10,4.996121995
6.845229897,7.884030176,9.518350807,6.217592011,4.776774916,9.25,9.428571429,10,9,10,9.769114688,6.450622608,9.807344064,10,10,7.5,10,10
7.1682772,6.777461423,8.08193844,5.185801311,6.04383421,9.25,8.904761905,10,9.364814815,10,6.0446062,5.728137568,0,10,10,5,9.875034528,9.960725137
7.426611809,8.050140688,9.488977918,6.803471355,6.019536903,9.25,9.214285714,9.5,7.996666667,10,9.636610285,7.01186382,9.746606193,10,10,10,10,9.982789974
6.884430365,5.891036906,6.494747822,4.926880553,8.26106118,1.75,7.226190476,5.5,6.876296296,6.666666667,8.436581039,4.518644917,8.980182836,5,10,5,10,9.981134745
5.942255355,2.877140582,5.530823658,2.985519957,9.441176471,0,5.69047619,3.5,6.49,5,5.548563081,3.163435126,7.934183725,5,0,2.5,8.467193959,8.923666967
6.267198877,7.204704436,5.995025905,5.21644612,7.10869573,10,8.520833333,7.21754062632581,9.486111111,10,7.220384563,4.930395401,6.661153688,10,10,5,10,10
7.727436356,7.015511083,7.730453044,4.359061132,5.467376671,4.875,5.958333333,6.87090066064953,7.957222222,6.666666667,6.694351355,4.658352163,3.083054064,10,10,7.5,10,10
8.230154625,8.198228523,9.34256119,7.816366289,3.620602928,8.75,9.726190476,10,8.884814815,10,9.854954616,8.539644459,9.568894853,10,10,10,10,9.979844978
8.475246512,7.636967263,9.922186836,8.497326383,7.42556634,9.25,9.666666667,10,8.188518519,10,9.650707897,8.249290426,9.785457023,10,10,10,10,10
5.444444842,4.912573675,5.11957662,3.444509203,6.196670228,0,1.758817876,4.12043129028783,4.405555556,0,4.984072935,1.980355364,9.118885472,0,0,0,0,0
8.034407747,7.729709837,9.717084408,6.772497404,7.206125318,10,9.285714286,10,9.357407407,10,9.724331089,6.98399638,9.672993268,10,10,7.5,10,10
6.769223369,6.362292909,8.831414728,5.124943241,6.526173139,8.333333333,4.273809524,2,4.355555556,8.333333333,8.393621945,3.297263673,9.355164677,5,10,2.5,9.96183913,10
7.208976699,6.2063089,8.221423469,5.659837689,7.314762736,5,7.5,5,6.447777778,8.333333333,7.349099273,4.244131053,7.219002977,10,10,7.5,9.982005392,9.992802157
7.100074303,7.108491873,8.637097548,4.741393669,6.642645685,4.375,7.15782646,4.5,7.255925926,8.333333333,8.66305117,4.286364947,8.704225102,10,9.757975368,5,10,10
7.401577922,7.041435692,8.669136791,3.541556296,6.119289276,6.666666667,8.395833333,9.16526672717459,8.625555556,5,7.140199751,3.261570979,8.420599254,10,10,7.5,0,0
6.27724085,5.419145767,7.027928927,3.675637715,6.71990382,5,8.464285714,8,8.877407407,6.666666667,8.033344298,4.083063827,6.400032893,10,10,7.5,10,10
6.61549302,7.841115334,9.051274803,4.542519459,5.595294029,6.666666667,8.729166667,9.56343217520531,8.616111111,10,5.944444444,4.731368885,0,10,10,7.5,10,10
6.389315893,6.911721762,7.061833002,5.276037704,5.805729204,4.166666667,8.017579553,8,6.457407407,8.333333333,7.562090498,4.757803695,8.780159366,10,7.895336487,5,7.924567924,9.543989572
6.629945973,7.217832757,9.012961525,4.778738645,6.576429967,9.25,3.962095697,4.5,4.494074074,10,7.51287008,3.974523246,8.274906404,10,0,2.5,5.791014267,3.027504908
7.952857152,7.453716468,8.647257101,4.730399908,8.2875,3.75,7.892857143,7,8.398148148,8.333333333,7.002780033,3.363040892,5.392618579,5,8.939451477,7.5,9.397415612,9.908407173
6.863745425,6.558300939,4.880977321,4.519291988,7.085854562,9.25,7.099239115,5.5,5.857777778,8.333333333,7.382567982,4.546373559,7.464542925,0,8.111306066,0,9.644481142,9.826684557
7.384832458,8.231247009,9.103967524,6.057111609,6.722602587,0,6.30952381,0.5,4.695925926,3.333333333,7.991936297,6.365951177,9.642475558,5,10,7.5,10,10
